text,intent
Quel est mon cours de SÃ©minaire CybersÃ©curitÃ© Jeudi en M1-CYBER ?,timetable
Dans quelle salle est le cours de SÃ©minaire CybersÃ©curitÃ© ?,timetable
Où se passe SÃ©minaire CybersÃ©curitÃ© Jeudi ?,timetable
Où se passe RÃ©glementation et ConformitÃ© Vendredi ?,timetable
"Je suis en M1-CYBER, j'ai quoi comme cours Vendredi ?",timetable
Le cours de RÃ©glementation et ConformitÃ© est en salle Salle B201 ?,timetable
J'ai cours de RÃ©glementation et ConformitÃ© Vendredi ?,timetable
Quel est mon cours de RÃ©glementation et ConformitÃ© Vendredi ?,timetable
Quel est mon cours de RÃ©glementation et ConformitÃ© Vendredi en M1-CYBER ?,timetable
Dans quelle salle est le cours de RÃ©glementation et ConformitÃ© ?,timetable
"En M1-CYBER, quel cours j'ai Vendredi ?",timetable
Le cours de Management de la SÃ©curitÃ© est en salle Salle B202 ?,timetable
Quel est mon cours de Management de la SÃ©curitÃ© Vendredi en M1-CYBER ?,timetable
Où se passe Management de la SÃ©curitÃ© Vendredi ?,timetable
J'ai cours de Management de la SÃ©curitÃ© Vendredi ?,timetable
Dans quelle salle est le cours de Management de la SÃ©curitÃ© ?,timetable
Quel est mon cours de Management de la SÃ©curitÃ© Vendredi ?,timetable
Quel est mon cours de Programmation OrientÃ©e Objet (Java) Lundi ?,timetable
Le cours de Programmation OrientÃ©e Objet (Java) est en salle Amphi A ?,timetable
Où se passe Programmation OrientÃ©e Objet (Java) Lundi ?,timetable
Dans quelle salle est le cours de Programmation OrientÃ©e Objet (Java) ?,timetable
"En B2, quel cours j'ai Lundi ?",timetable
J'ai cours de Programmation OrientÃ©e Objet (Java) Lundi ?,timetable
"Je suis en B2, j'ai quoi comme cours Lundi ?",timetable
Quel est mon cours de Programmation OrientÃ©e Objet (Java) Lundi en B2 ?,timetable
Où voir l'emploi du temps pour B2 ?,timetable
Emploi du temps B2,timetable
Quel est mon cours de Bases de DonnÃ©es AvancÃ©es Lundi en B2 ?,timetable
Le cours de Bases de DonnÃ©es AvancÃ©es est en salle Amphi A ?,timetable
Dans quelle salle est le cours de Bases de DonnÃ©es AvancÃ©es ?,timetable
Où se passe Bases de DonnÃ©es AvancÃ©es Lundi ?,timetable
Date de l'examen de éthique,exam
Planning des examens pour Data Science 2e année,exam
Quand est l'examen de mlops ?,exam
À quelle heure est l'examen de éthique ?,exam
À quelle heure est l'examen de statistiques ?,exam
À quelle heure est l'examen de data engineering ?,exam
Comment connaître ma salle d'examen ?,exam
Où se déroule l'examen de deep learning ?,exam
Est-ce qu'il y a un rattrapage pour data engineering ?,exam
Date de l'examen de reinforcement learning,exam
À quelle heure est l'examen de machine learning ?,exam
Examens B2 : dates et salles,exam
Examens Data Science 1e année : dates et salles,exam
Quand est l'examen de reinforcement learning ?,exam
Est-ce qu'il y a un rattrapage pour reinforcement learning ?,exam
Examens Data Science 2e année : dates et salles,exam
À quelle heure est l'examen de mlops ?,exam
Où se déroule l'examen de data engineering ?,exam
Planning des examens pour M1,exam
Examens B3 : dates et salles,exam
Quand est l'examen de data engineering ?,exam
Quand est l'examen de ml ?,exam
Planning des examens pour B1,exam
Date de l'examen de ml,exam
À quelle heure est l'examen de ml ?,exam
Quand est l'examen de deep learning ?,exam
Est-ce qu'il y a un rattrapage pour deep learning ?,exam
Quand est l'examen de python ?,exam
"Je suis en Data Science 2e année, quand sont mes examens ?",exam
Est-ce qu'il y a un rattrapage pour statistiques ?,exam
Je n'ai pas ma convocation d'examen,exam
"Je suis en B1, quand sont mes examens ?",exam
Je veux connaître la date de mes partiels,exam
Où se déroule l'examen de machine learning ?,exam
Où se déroule l'examen de python ?,exam
Est-ce qu'il y a un rattrapage pour ml ?,exam
À quelle heure est l'examen de reinforcement learning ?,exam
Date de l'examen de mlops,exam
Quand finissent les examens ?,exam
Quelle est la salle de mon examen ?,exam
Planning des examens pour Data Science 1e année,exam
Planning des examens pour B3,exam
Y a-t-il des rattrapages ?,exam
Est-ce qu'il y a un rattrapage pour éthique ?,exam
Où se déroule l'examen de ml ?,exam
Examens B1 : dates et salles,exam
"Je suis en Data Science 1e année, quand sont mes examens ?",exam
Comment ça se passe pour les rattrapages ?,exam
Quand est l'examen de éthique ?,exam
Où se déroule l'examen de éthique ?,exam
"Je suis en M1, quand sont mes examens ?",exam
Est-ce qu'il y a un rattrapage pour python ?,exam
Examens M1 : dates et salles,exam
Planning des examens pour M2,exam
Où se déroule l'examen de mlops ?,exam
Date de l'examen de python,exam
Date de l'examen de deep learning,exam
Où se déroule l'examen de reinforcement learning ?,exam
À quelle heure est l'examen de deep learning ?,exam
C'est quoi la période des examens ?,exam
"Je suis en M2, quand sont mes examens ?",exam
"Je suis en B2, quand sont mes examens ?",exam
Date de l'examen de statistiques,exam
Est-ce qu'il y a un rattrapage pour mlops ?,exam
"Je suis en B3, quand sont mes examens ?",exam
Examens M2 : dates et salles,exam
Quand commencent les examens ?,exam
Date de l'examen de data engineering,exam
Je veux les dates des examens du semestre,exam
Planning des examens pour B2,exam
Quand est l'examen de machine learning ?,exam
Est-ce qu'il y a un rattrapage pour machine learning ?,exam
Quand est l'examen de statistiques ?,exam
Où se déroule l'examen de statistiques ?,exam
À quelle heure est l'examen de python ?,exam
Où voir le planning des examens ?,exam
Date de l'examen de machine learning,exam
Mot de passe ENT oublié,ent
Impossible d'accéder au ENT,ent
Je n'ai pas accès à mon planning sur l'ENT,ent
Je suis bloqué sur l'ENT,ent
Je n'arrive pas à me connecter au ent,ent
Impossible d'accéder au esic,ent
Le esic ne fonctionne pas,ent
Je ne peux pas accéder à l'ENT,ent
Le ent ne fonctionne pas,ent
Le portail ne fonctionne pas,ent
Je n'arrive pas à me connecter au portail,ent
Impossible d'accéder au portail,ent
Erreur sur l'application ESIC Campus,ent
L'ENT affiche une erreur,ent
Je n'arrive pas à me connecter au ESIC,ent
Double authentification ENT impossible,ent
Le intranet ne fonctionne pas,ent
Je veux réinitialiser mon mot de passe ENT,ent
Impossible d'accéder au intranet,ent
Je ne vois pas mes cours sur l'ENT,ent
Problème de connexion Android ENT,ent
Mon ENT ne marche pas,ent
Je n'arrive pas à me connecter au intranet,ent
Problème ENT,ent
Je ne reçois pas le code de validation,ent
Problème de connexion iOS ENT,ent
Mon identifiant ENT ne fonctionne pas,ent
